LOAN_STATUS,STATUS,FUNDED_AMOUNT,LOAN_AMOUNT,BORROWER_HDI,GDP_2017,LENDER_TERM,NUM_LENDERS_TOTAL,LEAD_IS_FEMALE,DEFAULT_RATE,LOANS_POSTED,PORTFOLIO_YIELD,PROFITABILITY,PARTNER_RATING,TOTAL_AMOUNT_RAISED_BY_PARTNER
funded,1,250,250,0.694,3570.284615,49,7,0,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,49,5,0,0.120409258,1371,0,-62,2,847875
funded,1,175,175,0.694,3570.284615,8,7,0,0.120409258,1371,0,-62,2,847875
funded,1,1250,1250,0.694,3570.284615,8,48,0,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,50,6,0,0.120409258,1371,0,-62,2,847875
funded,1,375,375,0.694,3570.284615,8,15,1,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,50,10,1,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,50,10,1,0.120409258,1371,0,-62,2,847875
funded,1,425,425,0.694,3570.284615,9,11,1,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,50,10,1,0.120409258,1371,0,-62,2,847875
funded,1,600,600,0.694,3570.284615,9,22,1,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,49,7,1,0.120409258,1371,0,-62,2,847875
funded,1,600,600,0.694,3570.284615,15,22,0,0.120409258,1371,0,-62,2,847875
funded,1,325,325,0.694,3570.284615,14,10,1,0.120409258,1371,0,-62,2,847875
funded,1,1050,1050,0.694,3570.284615,14,41,1,0.120409258,1371,0,-62,2,847875
funded,1,1000,1000,0.694,3570.284615,14,26,0,0.120409258,1371,0,-62,2,847875
funded,1,300,300,0.694,3570.284615,14,12,0,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,25,0,0.120409258,1371,0,-62,2,847875
funded,1,300,300,0.694,3570.284615,14,12,1,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,22,0,0.120409258,1371,0,-62,2,847875
funded,1,1000,1000,0.694,3570.284615,14,39,1,0.120409258,1371,0,-62,2,847875
funded,1,975,975,0.694,3570.284615,14,27,0,0.120409258,1371,0,-62,2,847875
funded,1,1050,1050,0.694,3570.284615,14,42,0,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,24,1,0.120409258,1371,0,-62,2,847875
funded,1,1050,1050,0.694,3570.284615,14,32,1,0.120409258,1371,0,-62,2,847875
funded,1,1375,1375,0.694,3570.284615,14,45,1,0.120409258,1371,0,-62,2,847875
funded,1,1350,1350,0.694,3570.284615,14,45,0,0.120409258,1371,0,-62,2,847875
funded,1,1050,1050,0.694,3570.284615,14,38,1,0.120409258,1371,0,-62,2,847875
funded,1,300,300,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
funded,1,1050,1050,0.694,3570.284615,14,41,1,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,49,10,0,0.120409258,1371,0,-62,2,847875
funded,1,75,75,0.694,3570.284615,8,3,1,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,23,0,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,24,1,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,50,10,0,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,21,0,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,25,0,0.120409258,1371,0,-62,2,847875
funded,1,625,625,0.694,3570.284615,14,24,0,0.120409258,1371,0,-62,2,847875
funded,1,325,325,0.694,3570.284615,14,12,0,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,50,7,0,0.120409258,1371,0,-62,2,847875
funded,1,300,300,0.694,3570.284615,14,12,0,0.120409258,1371,0,-62,2,847875
expired,0,225,1025,0.694,3570.284615,14,9,0,0.120409258,1371,0,-62,2,847875
expired,0,500,950,0.694,3570.284615,14,17,0,0.120409258,1371,0,-62,2,847875
expired,0,850,1550,0.694,3570.284615,14,3,0,0.120409258,1371,0,-62,2,847875
expired,0,225,625,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
expired,0,275,600,0.694,3570.284615,14,4,0,0.120409258,1371,0,-62,2,847875
expired,0,650,1050,0.694,3570.284615,14,13,0,0.120409258,1371,0,-62,2,847875
expired,0,350,1075,0.694,3570.284615,14,7,0,0.120409258,1371,0,-62,2,847875
expired,0,800,1050,0.694,3570.284615,14,14,0,0.120409258,1371,0,-62,2,847875
expired,0,650,1050,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
expired,0,125,600,0.694,3570.284615,14,5,0,0.120409258,1371,0,-62,2,847875
expired,0,300,1025,0.694,3570.284615,14,4,0,0.120409258,1371,0,-62,2,847875
expired,0,250,1050,0.694,3570.284615,14,7,0,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,20,0,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
funded,1,475,475,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,14,11,0,0.120409258,1371,0,-62,2,847875
funded,1,900,900,0.694,3570.284615,14,27,0,0.120409258,1371,0,-62,2,847875
funded,1,325,325,0.694,3570.284615,14,1,1,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,18,0,0.120409258,1371,0,-62,2,847875
funded,1,450,450,0.694,3570.284615,14,18,0,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,14,6,0,0.120409258,1371,0,-62,2,847875
funded,1,900,900,0.694,3570.284615,14,32,1,0.120409258,1371,0,-62,2,847875
funded,1,925,925,0.694,3570.284615,14,35,0,0.120409258,1371,0,-62,2,847875
funded,1,500,500,0.694,3570.284615,14,12,0,0.120409258,1371,0,-62,2,847875
funded,1,950,950,0.694,3570.284615,14,29,0,0.120409258,1371,0,-62,2,847875
funded,1,950,950,0.694,3570.284615,14,23,1,0.120409258,1371,0,-62,2,847875
funded,1,900,900,0.694,3570.284615,14,12,1,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,18,0,0.120409258,1371,0,-62,2,847875
funded,1,875,875,0.694,3570.284615,14,30,0,0.120409258,1371,0,-62,2,847875
funded,1,1025,1025,0.694,3570.284615,14,37,1,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,14,9,1,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,18,1,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,20,1,0.120409258,1371,0,-62,2,847875
funded,1,875,875,0.694,3570.284615,14,14,0,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,20,0,0.120409258,1371,0,-62,2,847875
funded,1,1325,1325,0.694,3570.284615,14,41,1,0.120409258,1371,0,-62,2,847875
funded,1,175,175,0.694,3570.284615,14,6,1,0.120409258,1371,0,-62,2,847875
expired,0,600,900,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
expired,0,375,925,0.694,3570.284615,14,10,1,0.120409258,1371,0,-62,2,847875
expired,0,800,925,0.694,3570.284615,14,12,0,0.120409258,1371,0,-62,2,847875
expired,0,250,525,0.694,3570.284615,14,9,0,0.120409258,1371,0,-62,2,847875
expired,0,825,900,0.694,3570.284615,14,14,0,0.120409258,1371,0,-62,2,847875
expired,0,400,1325,0.694,3570.284615,14,3,0,0.120409258,1371,0,-62,2,847875
expired,0,825,900,0.694,3570.284615,14,6,0,0.120409258,1371,0,-62,2,847875
expired,0,600,875,0.694,3570.284615,14,14,0,0.120409258,1371,0,-62,2,847875
expired,0,225,925,0.694,3570.284615,14,9,0,0.120409258,1371,0,-62,2,847875
expired,0,775,875,0.694,3570.284615,14,17,0,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,21,0,0.120409258,1371,0,-62,2,847875
funded,1,925,925,0.694,3570.284615,14,29,1,0.120409258,1371,0,-62,2,847875
funded,1,150,150,0.694,3570.284615,14,6,0,0.120409258,1371,0,-62,2,847875
funded,1,550,550,0.694,3570.284615,14,21,1,0.120409258,1371,0,-62,2,847875
funded,1,250,250,0.694,3570.284615,14,8,1,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,15,9,0,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,14,6,0,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,14,10,0,0.120409258,1371,0,-62,2,847875
funded,1,325,325,0.694,3570.284615,14,12,0,0.120409258,1371,0,-62,2,847875
funded,1,275,275,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
expired,0,225,925,0.694,3570.284615,14,8,0,0.120409258,1371,0,-62,2,847875
expired,0,225,900,0.694,3570.284615,14,9,0,0.120409258,1371,0,-62,2,847875
expired,0,525,875,0.694,3570.284615,14,15,1,0.120409258,1371,0,-62,2,847875
expired,0,375,525,0.694,3570.284615,14,14,0,0.120409258,1371,0,-62,2,847875
funded,1,175,175,0.694,3570.284615,14,7,0,0.120409258,1371,0,-62,2,847875
funded,1,2550,2550,0.757,3880.738731,17,100,1,5.231950503,4969,21,0.8,0,6533700
funded,1,1275,1275,0.757,3880.738731,14,48,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2300,2300,0.757,3880.738731,17,87,1,5.231950503,4969,21,0.8,0,6533700
funded,1,2300,2300,0.757,3880.738731,20,76,1,5.231950503,4969,21,0.8,0,6533700
funded,1,2300,2300,0.757,3880.738731,18,46,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2550,2550,0.757,3880.738731,20,83,1,5.231950503,4969,21,0.8,0,6533700
funded,1,2550,2550,0.757,3880.738731,26,91,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1275,1275,0.757,3880.738731,14,45,1,5.231950503,4969,21,0.8,0,6533700
funded,1,2550,2550,0.757,3880.738731,17,74,0,5.231950503,4969,21,0.8,0,6533700
funded,1,775,775,0.757,3880.738731,14,27,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2300,2300,0.757,3880.738731,20,69,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2550,2550,0.757,3880.738731,17,90,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1925,1925,0.757,3880.738731,17,74,1,5.231950503,4969,21,0.8,0,6533700
funded,1,1300,1300,0.757,3880.738731,14,47,1,5.231950503,4969,21,0.8,0,6533700
funded,1,1675,1675,0.757,3880.738731,17,58,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2550,2550,0.757,3880.738731,20,96,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2550,2550,0.757,3880.738731,17,67,1,5.231950503,4969,21,0.8,0,6533700
funded,1,2300,2300,0.757,3880.738731,20,80,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1550,1550,0.757,3880.738731,14,57,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1925,1925,0.757,3880.738731,16,70,1,5.231950503,4969,21,0.8,0,6533700
funded,1,1925,1925,0.757,3880.738731,17,68,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2175,2175,0.757,3880.738731,14,72,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1275,1275,0.757,3880.738731,14,46,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1800,1800,0.757,3880.738731,17,54,1,5.231950503,4969,21,0.8,0,6533700
funded,1,2550,2550,0.757,3880.738731,26,80,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1925,1925,0.757,3880.738731,17,69,1,5.231950503,4969,21,0.8,0,6533700
funded,1,1925,1925,0.757,3880.738731,17,59,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1275,1275,0.757,3880.738731,14,49,0,5.231950503,4969,21,0.8,0,6533700
funded,1,650,650,0.757,3880.738731,14,25,0,5.231950503,4969,21,0.8,0,6533700
funded,1,2425,2425,0.757,3880.738731,20,79,0,5.231950503,4969,21,0.8,0,6533700
funded,1,1425,1425,0.757,3880.738731,14,45,0,5.231950503,4969,21,0.8,0,6533700
